# Entries for Object Message Types;;;;;;;;;
#;;;;;;;;;
# --- STANDARD ---;;;;;;;;;
#;;;;;;;;;
# Exchange IDs;;;;;;;;;
#;;;;;;;;;
#DM1;OBJECTMESSAGETYPE;DOMAINID;domain identifier;3;;;;;
#OMD1;OBJECTMESSAGETYPE;UID;unique identifier of the object message;7;;;;;
#OMD10;OBJECTMESSAGETYPE;STATUSTYPES;resulting status types of the object message;2;;;;;
#OMD2;OBJECTMESSAGETYPE;AREA;area of the object message;3;;;;;
#OMD20;OBJECTMESSAGETYPE;STATUSCODES;resulting status codes of the object message;2;;;;;
#OMD3;OBJECTMESSAGETYPE;WEIGHT;weight of the object message;1;;;;;
#OMD4;OBJECTMESSAGETYPE;TYPEID;type of the object message;3;;;;;   [Error] = 1        Info = 3        Attention = 2        Warning = 4
#OMD5;OBJECTMESSAGETYPE;MESSAGE;message text of the object message;3;;;;;
#OMD6;OBJECTMESSAGETYPE;DESCRIPTION;additional description and help text of the object message;10;;;;;
#OMD7;OBJECTMESSAGETYPE;ISPERSISTED;true if the messages of this type will be persisted in the log;9;;;;;
#;;;;;;;;;
# HEADER;;;;;;;;;
#;;;;;;;;;
OMD1;DM1;OMD2;OMD5;OMD6;OMD3;OMD4;OMD7;OMD20;OMD10
1102;@;VALIDATOR;object entry validation for '%1%.%2% (XID %3%) failed. Null or empty value is not allowed.;Provide a correct value;90;Error;false;|R1|R1|;|ENTRYVALIDATOR|XCHANGEENVELOPE|
1103;@;VALIDATOR;object entry validation for '%1%.%2% (XID %5%) failed. Value '%4%' is less than lower bound of '%3%'.;Provide a correct value;90;Error;false;|R1|R1|;|ENTRYVALIDATOR|XCHANGEENVELOPE|
1104;@;VALIDATOR;object entry validation for '%1%.%2% (XID %5%) failed. Value '%4%' is greater than higher bound of '%3%'.;Provide a correct value;90;Error;false;|R1|R1|;|ENTRYVALIDATOR|XCHANGEENVELOPE|
1105;@;VALIDATOR;object entry validation for '%1%.%2% (XID %5%) failed. Value '%4%' is not found in lookup condition '%3%'.;Provide a correct value;90;Error;false;|R1|R1|;|ENTRYVALIDATOR|XCHANGEENVELOPE|
1106;@;VALIDATOR;object entry validation for '%1%.%2% (XID %5%) failed. Value '%4%' is not matching against regular expression '%3%'.;Provide a correct value;90;Error;false;|R1|R1|;|ENTRYVALIDATOR|XCHANGEENVELOPE|
# Object VALIDATION FAILED;;;;;;;;;
1121;@;VALIDATOR;object validation for %1% failed. The values (%3%) of entries '%2%' must be unique but are existing in the database.;Provide a correct value;90;Error;false;|R1|R1|;|OBJECTVALIDATOR|XCHANGEENVELOPE|
#;;;;;;;;;
# VALIDATOR SUCCESS;;;;;;;;;
#;;;;;;;;;
